,Tuition and Fees in 2018 Dollars,,,,,,Tuition and Fees and Room and Board in 2018 Dollars,,,,,Tuition and Fees in Current Dollars,,,,,,Tuition and Fees and Room and Board in Current Dollars,,,
Academic Year,Private Nonprofit Four-Year,One-Year % Change,Public Four-Year,One-Year % Change,Public Two-Year,One-Year % Change,Private Nonprofit Four-Year,One-Year % Change,Public Four-Year,One-Year % Change,Academic Year,Private Nonprofit Four-Year,One-Year % Change,Public Four-Year,One-Year % Change,Public Two-Year,One-Year % Change,Private Nonprofit Four-Year,One-Year % Change,Public Four-Year,One-Year % Change
71-72,"$11,330",—,"$2,660",—,"$1,180",—,"$18,140",—,"$8,730",—,71-72,"$1,830",—,$430,—,$190,—,"$2,930",—,"$1,410",—
72-73,"$11,730",3.5%,"$3,010",13.2%,"$1,380",16.9%,"$18,580",2.4%,"$9,320",6.8%,72-73,"$1,950",6.6%,$500,16.3%,$230,21.1%,"$3,090",5.5%,"$1,550",9.9%
73-74,"$11,660",-0.6%,"$2,900",-3.7%,"$1,540",11.6%,"$18,320",-1.4%,"$9,100",-2.4%,73-74,"$2,050",5.1%,$510,2.0%,$270,17.4%,"$3,220",4.2%,"$1,600",3.2%
74-75,"$10,870",-6.8%,"$2,600",-10.3%,"$1,430",-7.1%,"$17,450",-4.7%,"$8,420",-7.5%,74-75,"$2,130",3.9%,$510,0.0%,$280,3.7%,"$3,420",6.2%,"$1,650",3.1%
75-76,"$10,650",-2.0%,"$2,510",-3.5%,"$1,160",-18.9%,"$17,110",-1.9%,"$8,280",-1.7%,75-76,"$2,290",7.5%,$540,5.9%,$250,-10.7%,"$3,680",7.6%,"$1,780",7.9%
76-77,"$11,170",4.9%,"$2,740",9.2%,"$1,240",6.9%,"$17,570",2.7%,"$8,560",3.4%,76-77,"$2,530",10.5%,$620,14.8%,$280,12.0%,"$3,980",8.2%,"$1,940",9.0%
77-78,"$11,150",-0.2%,"$2,730",-0.4%,"$1,280",3.2%,"$17,520",-0.3%,"$8,430",-1.5%,77-78,"$2,700",6.7%,$660,6.5%,$310,10.7%,"$4,240",6.5%,"$2,040",5.2%
78-79,"$11,350",1.8%,"$2,650",-2.9%,"$1,270",-0.8%,"$17,680",0.9%,"$8,250",-2.1%,78-79,"$2,960",9.6%,$690,4.5%,$330,6.5%,"$4,610",8.7%,"$2,150",5.4%
79-80,"$11,140",-1.9%,"$2,550",-3.8%,"$1,240",-2.4%,"$17,270",-2.3%,"$8,030",-2.7%,79-80,"$3,230",9.1%,$740,7.2%,$360,9.1%,"$5,010",8.7%,"$2,330",8.4%
