Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1947,42.8,43.0,47.5,51.9,53.1,41.2,36.9,38.7,38.8,40.8,54.2,54.3
1948,58.3,57.5,54.2,60.3,56.4,43.7,36.6,31.2,34.1,36.2,41.4,36.9
1949,47.6,48.8,45.9,42.3,44.9,34.9,36.1,38.9,41.2,38.6,47.6,40.6
1950,41.0,37.3,33.1,40.2,41.7,42.0,36.5,30.5,31.4,32.0,42.2,44.6
1951,49.5,54.9,45.1,47.7,54.5,39.3,39.3,37.8,40.5,41.2,55.0,60.9
1952,61.1,50.6,52.9,60.1,59.5,50.2,47.5,45.3,43.4,44.5,50.5,56.1
1953,41.8,44.3,49.2,42.0,43.5,57.1,37.6,43.2,37.2,40.5,40.2,37.5
1954,42.0,37.3,37.1,40.8,50.1,31.0,39.4,41.4,39.2,44.8,48.7,38.7
1955,44.3,45.0,43.5,52.6,53.7,42.9,37.3,45.7,50.6,40.4,51.4,42.6
1956,56.7,46.1,57.7,38.9,40.5,52.4,38.3,30.4,33.3,38.4,51.5,51.2
1957,49.1,45.1,35.7,48.0,57.9,48.8,40.2,43.1,36.7,49.5,50.4,47.6
1958,61.3,72.9,90.6,70.2,55.2,32.9,36.1,26.2,31.4,42.5,38.2,45.9
1959,49.6,51.7,40.6,53.3,43.3,32.3,33.7,34.0,47.1,46.8,46.9,61.8
1960,51.4,45.3,47.1,43.0,50.3,33.7,38.8,30.0,33.0,33.4,41.8,40.2
1961,42.1,38.8,41.9,39.4,38.6,46.3,41.7,33.9,32.9,36.4,41.2,37.4
1962,53.2,58.0,59.2,44.6,55.8,42.9,31.8,29.5,34.7,34.9,42.1,39.4
1963,51.9,43.9,42.1,40.2,40.3,43.3,43.4,31.2,28.4,36.6,53.2,49.0
1964,52.8,48.0,55.2,41.8,36.9,42.1,39.3,35.4,36.4,37.4,48.1,43.6
1965,39.9,43.6,51.8,59.7,64.8,44.0,39.6,32.5,38.0,38.4,42.8,44.4
1966,54.1,51.3,52.6,60.2,43.9,47.7,52.0,41.1,44.3,39.7,52.0,45.7
1967,48.0,51.7,47.3,47.7,55.4,62.1,57.6,39.1,37.0,39.2,50.2,49.1
1968,57.4,59.5,57.6,56.6,51.6,45.7,43.6,42.5,44.3,41.7,49.8,56.5
1969,56.3,53.6,54.7,46.9,64.1,47.5,46.7,45.6,47.0,49.8,74.9,64.0
1970,70.3,67.8,64.6,54.0,64.6,56.0,49.5,43.4,59.1,39.5,46.3,45.6
1971,56.6,55.7,65.8,56.3,65.2,71.1,56.1,57.5,44.1,56.5,67.2,73.5
1972,75.2,74.6,50.1,56.6,62.0,64.2,57.9,67.1,67.6,47.7,70.7,60.9
1973,79.8,73.0,78.6,95.9,94.8,95.7,83.9,64.7,63.0,58.4,56.4,62.6
1974,63.8,98.5,67.6,72.5,81.7,78.4,74.8,60.6,55.1,66.5,90.7,66.5
1975,89.3,82.7,75.9,92.6,83.0,100.0,84.5,74.8,87.6,80.4,73.7,89.0
1976,90.9,85.2,80.5,80.8,75.0,59.0,63.7,61.7,74.0,83.0,67.8,70.6
1977,91.2,102.7,105.2,93.7,76.8,59.0,70.5,60.9,62.3,73.7,79.1,60.9
1978,80.0,88.2,79.6,103.6,98.4,95.3,91.1,68.4,69.1,70.5,76.2,81.9
1979,102.2,123.9,89.9,88.4,85.1,83.6,82.9,88.2,66.4,78.5,86.5,66.8
1980,79.6,69.1,68.8,79.8,95.3,96.6,84.6,80.2,90.6,84.3,93.3,89.5
1981,108.5,114.7,130.3,114.6,108.3,102.1,101.3,101.3,91.5,88.3,86.1,108.8
1982,131.8,126.9,103.3,106.4,107.6,109.8,91.7,78.7,73.7,80.7,84.8,104.6
1983,88.6,86.5,100.1,112.4,107.5,111.3,90.2,98.0,107.0,125.3,100.1,101.0
1984,128.6,151.8,152.0,110.1,89.3,100.3,96.7,106.3,100.8,93.1,78.8,73.5
1985,91.3,110.3,117.4,109.3,88.3,88.5,124.8,103.5,92.1,86.8,84.4,107.4
1986,107.2,82.7,92.6,116.5,116.3,91.0,93.4,90.1,98.6,99.5,104.3,100.4
1987,85.2,91.9,103.9,102.2,94.4,96.4,101.9,77.1,98.2,89.6,135.4,112.0
1988,135.9,96.8,95.8,98.5,88.5,86.6,96.9,94.3,110.4,101.0,103.8,96.7
1989,93.4,119.9,111.0,107.1,140.4,117.0,110.5,96.3,81.5,101.0,80.0,88.4
1990,164.0,203.2,136.6,74.8,78.0,83.7,93.3,79.0,79.4,96.2,117.7,87.2
1991,89.3,87.3,88.4,112.8,157.0,138.0,102.0,82.6,81.8,73.5,113.1,76.1
1992,117.2,154.7,147.9,99.7,89.9,81.3,85.5,114.8,114.8,149.0,108.2,133.4
1993,128.8,125.8,117.4,178.5,164.3,80.7,98.4,110.5,117.0,89.5,141.1,167.0
1994,146.3,99.3,96.1,91.4,91.2,94.9,104.8,95.7,107.1,113.8,128.1,244.7
1995,163.5,149.2,159.2,199.1,167.2,127.2,107.3,94.8,152.9,116.0,115.8,125.5
1996,133.9,119.4,202.5,155.6,108.2,96.6,108.8,97.2,91.3,106.0,131.5,99.3
1997,105.2,126.2,150.4,109.6,103.2,112.2,115.7,125.2,121.8,143.1,124.7,118.5
1998,133.1,136.6,148.2,162.9,123.2,106.5,153.7,114.9,135.0,161.9,131.2,148.1
1999,131.9,93.1,117.4,144.4,111.3,125.8,103.4,113.7,117.5,101.6,100.9,151.6
2000,111.3,100.5,122.3,126.8,152.0,128.1,127.2,136.7,155.9,165.0,173.9,120.3
2001,147.0,168.6,178.7,145.6,144.9,129.4,109.7,127.2,132.3,112.3,105.9,121.0
2002,146.1,188.7,242.5,101.7,107.2,123.2,127.1,125.4,116.7,126.9,127.4,119.0
2003,147.8,127.5,153.0,167.7,165.0,138.8,133.3,136.6,164.7,156.9,148.4,184.7
2004,143.8,125.9,140.3,133.1,132.9,101.0,102.8,128.3,141.9,200.0,211.1,143.7
2005,122.0,152.8,168.5,174.7,144.2,160.0,126.8,132.3,153.3,144.0,163.1,200.8
2006,207.6,138.8,137.6,174.4,147.9,128.7,134.1,179.5,193.1,167.7,138.3,178.4
2007,175.3,190.3,222.4,222.5,142.1,145.4,146.0,137.8,162.7,218.3,177.4,204.5
2008,200.2,158.3,194.1,179.3,170.7,191.7,168.3,146.1,158.7,185.1,200.3,155.9
2009,179.8,163.6,167.4,182.3,134.1,182.5,149.8,144.3,140.4,180.6,197.8,210.4
2010,178.6,190.6,310.4,274.1,215.4,158.6,177.1,157.3,171.2,153.7,156.0,186.7
2011,211.2,341.1,267.7,184.7,156.9,174.2,148.7,146.6,174.1,171.4,199.1,169.7
2012,146.9,129.5,150.2,133.7,144.2,156.2,147.1,159.4,163.7,143.2,164.7,154.0
2013,240.8,182.0,236.8,201.0,211.6,195.8,175.1,229.1,188.8,222.2,218.5,177.0
2014,197.0,193.3,197.1,200.2,195.9,214.6,197.3,184.7,191.0,219.6,249.1,229.0
2015,253.2,197.1,,,,,,,,,,
