Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1947,34.4,34.7,35.5,34.1,35.4,37.4,39.2,38.3,39.7,40.5,40.6,42.5
1948,44.7,40.6,40.0,41.2,45.5,49.7,50.4,50.1,48.3,46.2,45.3,42.3
1949,38.2,34.5,36.9,36.9,38.2,39.0,37.8,37.6,39.2,41.5,42.8,43.9
1950,43.2,42.7,42.3,41.7,43.8,44.5,45.2,44.1,44.6,43.8,46.1,48.9
1951,51.5,53.2,54.4,54.7,53.4,52.2,51.6,51.8,53.0,52.6,52.1,50.9
1952,50.7,50.8,50.3,51.3,49.8,48.5,48.6,47.1,45.9,45.7,45.6,44.2
1953,42.7,36.1,34.9,32.2,32.2,31.6,34.9,34.8,35.7,35.0,34.0,32.9
1954,36.1,34.7,34.9,35.8,35.1,33.9,34.0,33.5,35.6,36.2,36.1,36.9
1955,38.7,38.5,37.1,37.0,34.0,32.7,33.4,31.9,33.1,31.9,29.7,28.3
1956,28.9,28.8,28.6,29.8,29.8,30.6,30.9,36.4,38.6,36.5,34.3,32.4
1957,31.8,30.5,32.0,33.9,33.9,34.5,37.0,37.0,35.9,35.2,36.4,37.2
1958,38.5,40.1,43.5,42.2,43.3,41.0,41.1,38.8,40.2,40.1,40.8,41.3
1959,43.1,42.1,43.9,45.6,44.3,42.4,42.2,41.5,41.7,40.6,39.7,38.4
1960,39.3,39.2,40.7,40.6,40.0,38.0,37.9,36.8,36.8,37.4,38.8,39.9
1961,40.2,38.5,37.7,37.0,34.8,33.8,34.1,37.4,36.6,36.6,38.1,38.7
1962,39.1,38.6,39.2,39.8,38.4,36.7,38.4,40.2,43.3,43.1,43.3,42.0
1963,40.7,36.5,34.2,36.2,33.7,33.9,37.2,36.9,36.0,36.5,35.9,32.7
1964,33.9,32.6,32.6,32.4,30.9,30.7,33.2,35.6,36.6,35.9,34.8,33.7
1965,34.2,34.2,34.3,35.5,37.2,38.4,38.8,39.5,39.0,39.2,39.0,39.7
1966,39.3,40.8,41.5,42.1,39.2,38.2,37.5,37.8,38.2,38.2,37.0,36.9
1967,38.2,37.5,36.7,36.1,37.2,37.8,38.8,40.1,40.3,40.0,38.7,38.9
1968,39.0,40.3,41.2,41.3,40.8,39.5,41.0,41.2,41.2,41.6,42.2,42.1
1969,42.7,42.4,43.6,44.7,48.9,50.6,47.4,45.0,43.5,42.7,42.2,43.3
1970,41.0,44.3,46.9,46.1,45.3,45.4,46.5,44.6,44.8,44.3,41.8,41.1
1971,42.8,49.0,48.6,50.4,50.5,49.7,49.6,50.6,50.2,49.6,50.8,52.3
1972,53.9,55.5,54.8,53.6,54.7,58.3,59.4,55.9,54.2,55.0,52.6,58.6
1973,61.1,67.0,72.3,70.1,71.7,74.3,73.7,86.8,75.4,66.0,63.6,60.1
1974,75.2,72.9,68.9,65.2,63.8,54.1,66.4,72.4,66.0,61.3,57.7,58.2
1975,56.3,52.1,54.4,64.4,74.0,77.2,75.2,68.9,71.7,71.4,68.8,69.7
1976,64.9,60.6,56.4,66.8,62.9,62.8,58.0,57.0,57.2,58.5,59.7,61.2
1977,59.6,58.6,58.0,60.9,64.9,60.5,62.9,61.6,61.6,64.9,63.8,66.2
1978,67.1,70.5,74.6,80.7,85.0,89.1,84.6,79.1,84.0,85.9,82.8,85.6
1979,92.3,100.4,108.2,115.1,113.1,108.3,104.6,97.7,105.3,103.9,104.1,104.7
1980,102.6,105.8,104.8,98.2,100.2,101.1,107.6,112.3,107.5,105.0,101.4,101.1
1981,99.2,96.6,96.7,100.3,102.8,104.3,104.8,102.8,101.7,97.0,92.2,90.5
1982,94.0,99.0,102.5,107.0,112.2,109.0,103.8,101.4,95.7,93.6,91.6,90.2
1983,92.2,94.2,98.4,105.0,104.3,102.4,96.2,95.7,92.0,93.0,91.1,96.3
1984,102.5,102.5,106.8,104.8,101.4,98.9,101.9,99.7,97.8,94.0,99.8,101.4
1985,99.1,97.7,93.6,92.4,90.0,88.9,84.8,80.9,76.5,90.2,97.8,97.2
1986,92.3,87.9,86.3,83.8,86.9,81.4,87.5,91.2,92.2,92.6,95.1,93.5
1987,90.5,93.5,93.8,103.8,109.6,107.4,101.9,100.4,100.6,100.5,99.1,98.8
1988,100.2,106.3,111.0,112.8,116.0,111.1,102.8,102.2,104.6,106.4,106.7,108.8
1989,111.3,111.7,115.7,116.8,116.5,110.0,106.7,111.2,104.8,105.9,111.6,115.4
1990,116.8,118.3,120.4,122.4,119.8,116.5,112.7,118.6,115.7,119.2,122.4,125.2
1991,120.9,120.4,125.1,124.6,119.9,115.0,111.5,99.9,102.7,105.6,106.2,105.5
1992,110.4,116.5,117.9,116.2,115.4,111.3,110.5,111.3,112.4,113.2,111.4,116.4
1993,119.3,120.3,122.0,123.1,122.3,116.4,110.3,113.2,110.9,103.7,107.5,107.6
1994,108.8,109.7,112.2,114.1,104.2,96.0,99.1,102.6,98.6,97.1,103.3,103.2
1995,107.7,110.4,105.8,101.1,94.5,96.0,93.4,92.5,94.7,95.7,101.9,99.3
1996,96.4,94.2,91.7,91.4,89.8,93.9,96.5,98.7,105.4,105.0,108.4,99.3
